outcome,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00007,Otu00008,Otu00009,Otu00010,Otu00011,Otu00012,Otu00014,Otu00015,Otu00016,Otu00017,Otu00019,Otu00021,Otu00025,Otu00028,Otu00034,Otu00035,Otu00036,Otu00040,Otu00042,Otu00050,Otu00051,Otu00075,Otu00091,Otu00117
case,0,0.0276,0.2626,2e-4,0.166,0,0,0,2e-4,0,0,0,0.004,0,0,0,6e-4,0.1596,0,0,0.0082,0,0,0,0,6e-4,0.0016,0,0.0572
case,0,0.0158,0.0064,0,0.198,0,0,0,0,0,2e-4,0,0.006,0,0,0,0.0032,0.0582,0.0218,0.0016,4e-4,0,0,0,0,0.0032,0,4e-4,0
case,0.008,0.2594,0.2334,0.326,0.001,0.0038,0.0478,8e-4,0,0,2e-4,0.0042,2e-4,2e-4,0.0012,6e-4,0.0638,0,0,0.0028,2e-4,0,0,0,0,0,2e-4,0,0
case,0.1376,0.035,0.0014,0.014,0.0022,0.0208,0.0152,0.0012,0,0,0.4902,0.0044,6e-4,0.0788,0,0.0358,0,0,2e-4,0.0034,0,0,0.006,0.001,0.0042,0.003,0,4e-4,0
case,0,0.5186,0,4e-4,0,0,6e-4,0.0156,0,2e-4,0.0012,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552,0
case,0.1338,0.1136,2e-4,0.1388,0.0668,0.1888,0,0,0,0.0392,0,2e-4,0.0058,0.0488,0,0,0.0208,0.0032,0.003,0.0082,0,0,0,0.0016,0,0.0108,0,6e-4,0
case,4e-4,0.001,0.2866,0,0,0,0,4e-4,0,0,0,0,0.0156,0,0,0,0.0014,0,0,0,0,0,0,0,0,0.0018,0,2e-4,0
case,0.0172,0.0078,4e-4,0.0052,8e-4,0.006,6e-4,2e-4,2e-4,0.0022,0.0012,2e-4,0.001,8e-4,0.005,0.0048,0.0018,0,0,0,2e-4,0.015,0.0012,2e-4,0,0,0,4e-4,0
case,2e-4,0,0.0022,0,0.2616,2e-4,0,0.0358,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0
case,0.1186,0,4e-4,0,2e-4,0,0,2e-4,0,0,0,0,0.0648,0.0774,0,0.1484,0.0018,0,0,0.0022,2e-4,0,0,0.0022,0,0.0074,0,0,0
case,0.0286,4e-4,0,0.0616,2e-4,0.0198,0.0064,2e-4,0,0,0.0334,0.0012,0,0.0402,0.0346,0.067,0,0,4e-4,0,0,0.0022,0.0138,2e-4,6e-4,0,0,0.0012,0
nondiarrheal_control,0.05,0,2e-4,0.0042,0.025,0.0022,0.0094,0.0016,0.0672,0.0032,0.0192,4e-4,0.0056,0.0092,0.003,0.0092,0,0,2e-4,0.001,0,0,4e-4,0.0016,0,0,0.0016,2e-4,2e-4
nondiarrheal_control,0.3738,0,0.0162,0.0306,0.107,0.014,0.0738,0.0028,0,0,0.0264,0,0.0018,0.0374,0,0,0,0.0148,0,0.0176,6e-4,0,0,0.005,2e-4,0,0,0.0016,0
case,6e-4,2e-4,0.845,0,0,4e-4,0,0.0196,0,0,0,0,0.0022,0,2e-4,0,2e-4,0,0,0.0582,0,0,0,0,0,0.036,0,0,0
nondiarrheal_control,0.087,0,0.0284,0.155,0,0,0.085,0,0.2694,0,0.0282,0,0.0152,0.0122,0.0286,0,0.0018,0,0.0012,0,0.01,0.0054,0.006,8e-4,0.0072,0.0024,0,6e-4,0.0066
case,0,2e-4,0.1834,2e-4,0.0996,0,0,0.0012,2e-4,0,0,0,0.0774,0,0,2e-4,0,0.082,0,0.0282,0,0.0404,0,0,0,0.0134,0,0.0072,0
nondiarrheal_control,0.0826,0.0658,4e-4,0.013,0,0.0204,0.0292,8e-4,2e-4,0.0026,2e-4,0.052,0.0064,0.0042,0,0.0202,2e-4,6e-4,0.0018,0.0038,0.001,0.0012,0.014,8e-4,0.0174,4e-4,0.002,2e-4,0.001
nondiarrheal_control,0,0.2658,0.3078,0,0.0182,0,0,6e-4,0,0.0016,0,0,0,0,0,0,0.067,0,0,0,0.0016,0,0,0,0,0.0356,0,0,0
nondiarrheal_control,0.2412,0.0968,0.001,2e-4,0.0084,0,0,0,0,0,0,0,0.0122,0,0,2e-4,0.0026,0.0338,0.0038,0.0136,0.021,0.0092,0,0.1986,0,0.0028,0.0014,0.0014,0
case,0.207,4e-4,0.0446,0.0152,0,2e-4,0.0158,0.001,0.0232,0,0,2e-4,4e-4,0,0,0.1144,0,0.0026,0.0324,0,4e-4,0.006,0.0014,0.0038,0,4e-4,0,4e-4,2e-4
case,0.0242,0,0,0.3102,0,0.0368,0.0446,2e-4,0.05,0,0.2524,0,4e-4,0.0042,0,0,0.0156,0,0.012,0.002,0,0.0358,0.0048,0,0.0052,0.012,0,4e-4,0
nondiarrheal_control,0.1444,2e-4,2e-4,0.0168,0,0.0348,0.0314,0,0.1368,0,4e-4,0,0.0076,0.02,0.0574,0.0586,0,0,0.0086,0.004,2e-4,0.0122,0.001,0.002,0.0082,0.0034,0.0118,0,0
nondiarrheal_control,0,0.0418,0.0772,0,0.1282,4e-4,0,0.0144,0.0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0.3744,0,0,0.0288,0,0.0178,0.0974,0,0.0832,0.0208,0.0428,0.0838,6e-4,0.0038,0.0158,0.0042,0.0024,0.0248,0.001,0.0012,0.0034,0.0014,0.003,0.0022,0.0012,0,0.0016,6e-4,2e-4
case,0.566,0.0044,0.0568,0,0.0954,0,0,0.01,0,0,0,0,0.0756,0,0,0,0.007,0,8e-4,0,6e-4,2e-4,0,0.0036,0,0,0,0.034,0
case,0.0582,0,0,0.0042,0,0.084,0,0.1138,0,2e-4,0,0,0.3238,0.0542,0,2e-4,0.0124,0,0.0012,4e-4,0.0024,0.0076,0,6e-4,0,0.0056,0,0,0.0212
case,0.0058,0.2242,0.0716,8e-4,0.0104,0.001,0.0028,0,0.0044,0,2e-4,0,0.0132,2e-4,0,0.0048,0.0208,0,0.0908,0.0576,4e-4,0.028,0,0,0,0.0228,0,0.0016,2e-4
case,4e-4,0.078,0.5526,0.01,0,0,0,0.0224,0,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-4,0
case,0.1362,2e-4,0,0.3436,2e-4,0.2,0.0136,4e-4,0,0,0,0,0.0596,0.1222,0,0,0.0012,0,0.0018,0.0398,0.0018,0.0026,0,0.0016,0,0.0054,0,0.003,0
case,0,0.0204,0.2652,2e-4,0.0016,0,0,0.0062,0,0,0,0,0,0,0,0,4e-4,0,0,6e-4,0,0,0,0,0,0,0,2e-4,0
case,0,0,0,0.1956,4e-4,0.3608,0.1682,0.0018,0,0,2e-4,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0
case,6e-4,0.0626,0.0138,0,0.0012,2e-4,4e-4,0.856,0,0,0,0,0.0168,2e-4,4e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0,0,0,2e-4,0,2e-4,0,0.0102,0,0,0,2e-4,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0,0,0
case,0.2424,0.1562,0.0052,0.0836,0.0026,0.0174,0.024,0.0018,0,0.0924,0.0158,0.0592,2e-4,0.0118,0,0,0.002,0.0174,0,6e-4,8e-4,0.0056,0.0188,0.0022,0.0044,0.0036,2e-4,2e-4,0.0056
case,0.0018,0.0734,0.0814,0.271,0.0104,2e-4,0.0208,0.0086,0.002,2e-4,0,0,0.0086,0.065,0.3178,0,4e-4,6e-4,0.0464,0.0012,4e-4,0,2e-4,0,0.0016,0,2e-4,0,0
nondiarrheal_control,0,6e-4,0.0342,2e-4,0.2668,2e-4,0,2e-4,0,0,0,0,0.1282,0,2e-4,0,0.0016,0.0068,6e-4,0.0538,4e-4,0,0,0,0.0026,0.003,6e-4,0,0
nondiarrheal_control,0.0016,0.0844,0.0328,0.001,0.1848,2e-4,2e-4,0,2e-4,0,2e-4,0,8e-4,4e-4,2e-4,0,0.0066,4e-4,0,0,0,0,0,0,0,0.0054,0,0,0
nondiarrheal_control,0.059,0.0042,2e-4,0.006,8e-4,0.008,0.0086,2e-4,0.0034,0.0142,0.0078,0.0014,2e-4,0.003,4e-4,8e-4,2e-4,0.0058,0,8e-4,0.002,2e-4,0.007,6e-4,0.0038,0.0078,0.0016,0,6e-4
nondiarrheal_control,0.0628,4e-4,4e-4,0.0988,0,0.0674,0.0332,0.0016,0.05,0.0024,0.006,0,0.0158,0.0014,2e-4,0,0.0018,0.02,0.0046,8e-4,0.0018,0.0044,0.045,0.0138,0.0144,2e-4,0.0024,2e-4,2e-4
nondiarrheal_control,0.061,0.0014,0,0.0086,0.002,0.004,0.0096,0,0,0.0368,0.0056,0.001,2e-4,0.006,0.0062,0,0,0.0226,0,0,0.0028,0,0.0166,6e-4,0,0.0024,0.0018,0,2e-4
case,0.0114,0.0098,0.0012,0.0014,0.495,0.0018,0.001,0.003,0,0.001,0,0,0.0122,2e-4,6e-4,2e-4,0.0522,0.001,0.0112,0.0326,2e-4,0,6e-4,0,0,0.0146,0,0.0034,0
nondiarrheal_control,0.0016,0.1152,0,6e-4,0.279,0,0,0.0076,0,2e-4,0,2e-4,0.0212,0,0,0,0.1008,0.0428,0.004,0,0,0,2e-4,0,0,0.0874,2e-4,0.0032,0
nondiarrheal_control,0.2136,2e-4,2e-4,0.234,0.0118,0,0.0356,0,0,0.0754,0.0304,0.0794,6e-4,0.0064,0.0258,0,0.0184,0.0128,0,0,0.0248,0,0.003,0.001,0.0014,8e-4,0,0,4e-4
case,0.0268,0.3184,0.0012,0.0142,0.068,0.1222,0.0246,0.0018,0,0,4e-4,0.0042,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0
case,0.1996,0.1094,2e-4,0.0368,6e-4,0.028,0.0426,0.003,0,0,0.1638,0.0222,0,0.0256,0.005,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0
case,0.1642,0.0152,0,0.053,0.001,0.073,0,0,0,0.1314,0,0,0.0054,0,0,0,0,0.0034,0.0024,6e-4,0.0026,0.0048,0.0238,0.003,0.0032,0,0.002,0.0038,2e-4
case,0.3532,4e-4,0.0236,0.0256,0.0022,0.0322,6e-4,0,0,0.0396,0.007,0.135,0.0018,0.0146,2e-4,0,0,2e-4,0.002,0.0016,0.0234,0,0,0.012,4e-4,0.001,0.0148,8e-4,4e-4
case,0,0.054,8e-4,0.0932,0.0132,2e-4,0.1228,0,0,0.0108,0,4e-4,0.0072,0.0252,0.1174,0,0.0014,0,0.0024,0.0074,0.0014,0,0,0,4e-4,0,2e-4,2e-4,0
case,0.192,0,2e-4,0.0296,2e-4,0,0.0282,0,0,0.0574,0.1356,0.018,0.0062,0.0128,0.0162,0.0676,0.0018,8e-4,8e-4,0.0026,4e-4,0.0576,0.0278,0.0086,0.0052,2e-4,6e-4,0.001,0.004
nondiarrheal_control,0.1232,0.0068,0,0.0324,8e-4,0,0.049,0,0,0.035,0.0288,0.1702,6e-4,0.0042,0.029,0.0464,0.001,0.0052,2e-4,0.0022,0.0022,0.0012,0,0.0022,0.0024,0,8e-4,0,2e-4
nondiarrheal_control,0.0686,0.0112,2e-4,0.06,0.0066,0.0278,0.0292,0,0,2e-4,0.0552,0.3762,0.0052,0.0102,0,0.0488,0.006,0.0114,0.0044,0.0044,0.0406,0,2e-4,0.0014,4e-4,0,0,0.0012,0
nondiarrheal_control,0.0966,0.0034,0,0.0126,8e-4,0,0.0298,0,2e-4,0.0516,0.0212,0,4e-4,0,0,0.0074,8e-4,0.0146,6e-4,2e-4,0.0028,0.0032,0.0124,0.0024,0.0066,0,0.003,0,0.0016
nondiarrheal_control,0.1958,0,0,0.0404,0.0054,0.011,0.048,0,0,0.0328,0.0056,0.0166,0,0.0026,0.0108,0,0,0.0446,2e-4,0,4e-4,0.0026,0.0182,0.0018,0,2e-4,4e-4,0,6e-4
case,0,0.183,0.0166,0,0.093,0,0,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0.2628,0.0014,0.002,0.0688,0.0016,0.0158,0.0504,0,0.001,4e-4,0.0078,0.003,0.0058,0.0268,0.0084,0,0.0046,0,0.001,4e-4,0.0324,0.015,0.0186,0.0042,0.0188,4e-4,0.0064,6e-4,2e-4
case,0.1502,0,0.0076,0.1472,0.0016,2e-4,0.0222,4e-4,0.1658,0.0808,0.0768,0,0.004,0,0,0,0.0082,0.007,0.0092,0.0082,0.0012,0.0082,0,0.001,0.0184,0,0,0.0012,0.0154
case,0.0568,2e-4,0.0754,0.0508,4e-4,0,0.0064,0.5144,0,0.0426,0,0,0.0032,0,2e-4,0.0026,2e-4,8e-4,0,6e-4,0,4e-4,0,4e-4,2e-4,0.0032,0,6e-4,0
case,0.6098,0.12,4e-4,0.0664,0,0,0,0,0,2e-4,0,0,0.0722,0,0,0,2e-4,0,0.0082,0.0154,0,0,0,0.0074,0,0.0014,0,0.0018,0
case,0.0486,0.2386,0.2238,0.0236,0.0228,0.0446,0.0254,0.0406,0,0,0,0,0.0014,0.0192,2e-4,0.0342,0.0034,0,0.0048,0.0014,0,8e-4,0.0036,6e-4,0.0012,0,0,0.0118,0.0032
case,0.0014,0.7456,0.073,0.0018,2e-4,0.0018,0.0046,0.0036,0.0076,0.0194,0.0114,0,0.0082,0,0.004,0,0,0,0,6e-4,4e-4,0,6e-4,0,0,0,2e-4,0,2e-4
case,0.1912,2e-4,2e-4,0.031,0.0038,0.0124,0.1296,0,0.103,0.1894,0.0014,0,0.0156,0.0096,0.0066,0.0036,0,0,0.0046,0.0026,0.0024,0.0062,0.0042,0.0028,0.0042,0,0,2e-4,0
case,4e-4,0,0.6696,0,0,0,0,0.0642,0,0,0,4e-4,0,2e-4,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0.4238,0.0046,0.0762,0,0.0026,0,0.0334,0.0076,0,0.025,6e-4,0,0.093,0,0,0,0.0922,0,8e-4,0.0174,0,0.0036,0,0.0052,2e-4,4e-4,0,0,0
case,2e-4,0.0198,2e-4,0,2e-4,0,0.051,6e-4,2e-4,0.0072,0,0,0.0042,0.3316,0,0.1288,0,0,0.0074,6e-4,0.03,0.0848,0.0178,0,0.001,0.0018,0,4e-4,0
case,2e-4,0.911,0,2e-4,0.001,0,0,0,0,2e-4,0,0,0,0,2e-4,0,0.065,0,0,0.0012,0,0,0,0,0,0,0,2e-4,0
nondiarrheal_control,0.31,0.0478,0,0.0212,0.0386,0,0.0042,0,0,0.0438,0.002,0.0806,2e-4,0.0044,0.003,0,0.0178,6e-4,0,0,0.0102,2e-4,0,0.1334,0,0,0,0,0
case,0,0.0822,0.009,0.222,0.2292,2e-4,2e-4,0,0,0,0,0,0.013,2e-4,0,0,6e-4,0,0.005,0.0282,0.003,0,0,0,2e-4,0,0.0012,0.0028,0
case,0.1338,0,0.0098,0.032,0.0026,0.0684,0.0316,0,0.1094,0.0172,0.0236,0.0274,0.0038,0.006,0.0204,0,0.01,0,0.0132,0.0022,8e-4,0,0.0038,0.0018,0.0062,0,0.001,4e-4,0.0012
case,0.1778,0,0,0.0876,0,0,0.0674,0.0048,0,0,0.0266,0.088,0.0458,0,0,0,0,0,0.0096,0,0,0,0,0.0014,0,4e-4,0,0.0032,0
case,0.1456,2e-4,0.1564,0.0638,2e-4,0.1956,0.0028,6e-4,0.062,0,0,0.0034,0.0316,0.0172,0,0.0094,0.0738,0.001,0.0104,0.0232,0,0.0204,0.0012,0.0026,0.0026,2e-4,2e-4,0.001,2e-4
case,0,2e-4,0.4388,0,2e-4,0,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0.0796,0.2572,0.0012,0,0.0072,0.002,0.0036,0,0,0,0,0,0.0976,0,0.0032,0,0.0034,0.0218,0.0248,0.001,0.08,0,0,0.0014,0,0.0052,0,0.0024,0.0018
case,0,0,4e-4,0.0484,0.0594,0.4628,0,2e-4,0,0.034,2e-4,0,0.0286,0.0582,0,0,0,2e-4,0.0276,0,0,0,0,0,0,0,0,0.0036,0
case,0.1348,0.13,0,0.0752,4e-4,0.0178,0.1206,0,0.143,0,0,0,0.011,0.0132,0,0.0194,0.0154,0.0108,0.0076,0.0132,0,0,0.0318,0.0014,6e-4,2e-4,0,0.002,0
case,0,0.0348,0,0.0012,0.0014,0,4e-4,0,0,0.0016,0,0,0.0124,0,0,0,0.0118,2e-4,0.0018,0.0036,0.016,0,2e-4,0,0.0162,0.0174,0,0.0018,0.0564
case,0.2096,0.0812,2e-4,0.225,0.2014,0,0.068,0,0,0,2e-4,0.026,0.0158,0,0.0458,0,0.0212,0,0.001,0,0,0,0,0.0034,0,0,0,0,0
case,0,0.2432,0.0404,0,0.0616,0,2e-4,0.0016,0,0.0012,0,0,0.033,0,0,0,0,6e-4,8e-4,0,0,0,0,0,0.0014,0.0062,0,0,0
case,0,0.0678,0.0058,0,0.009,0,2e-4,0.0026,0,0,2e-4,0,0.3076,0,0,0,0.0502,0,0.2564,0.0944,0,2e-4,0,0,0,0.0156,0,0.015,0
nondiarrheal_control,0,0.0346,0,0,0.0016,0,0,0,0,0.2508,0,0,8e-4,0,0,2e-4,0.0082,0.1038,0.0014,0.0014,0.0316,4e-4,0,0,0,6e-4,0.0126,0,0
nondiarrheal_control,0.0082,0.001,0.004,0.5364,0.0538,8e-4,0,0.0074,0,0,4e-4,6e-4,0.047,2e-4,0,8e-4,0,0,0,0,0.0418,2e-4,0,0,0.0908,0.0282,0,0.0024,0
nondiarrheal_control,2e-4,0.4398,0.0072,0.023,4e-4,0,0,2e-4,0,0,0,0,0.07,0,0,0,8e-4,2e-4,0.0042,0.0872,0,0.0116,0,0,0,0.0062,0,0.0492,0
case,4e-4,4e-4,4e-4,0.7842,0.001,0,0,8e-4,0,0,0,0,0.067,0,0,0,0.0396,0,0,6e-4,6e-4,0,0,0,2e-4,0.0048,0.0136,0,0
case,0.1512,0.2204,0.251,0.0446,2e-4,0,0.10780000000000001,0.0032,0,0,0.0854,0,0.0032,0,0,0,0,0,0,0,0,6e-4,0,0.0018,0,0.0018,0,0,8e-4
case,0,0.2554,0.0102,4e-4,0.0992,0,0,0.0018,0.0474,4e-4,0,0,0,0,0,0,0,0.0012,0,0,2e-4,0,0,0,0,0.0026,0,0,0
case,0.0442,0.2196,0,0.0092,0.0808,0,0.0118,0.0022,0,0.0018,0.0014,0,0.0028,0,0,0,0.0598,0,0.0124,0.002,0,0,0,6e-4,0,0,0,0.004,0
case,0.1844,2e-4,0.3568,0.0428,0,0.1438,0.026,0,0,0,0,0.0058,0.0106,0.0202,0,0.0256,0.0136,0,4e-4,0.0132,2e-4,0.0014,0.0108,0.0014,0,0.0012,0,0.0034,0
case,2e-4,8e-4,0,4e-4,8e-4,0,8e-4,4e-4,0,0,0,0,0,0,2e-4,2e-4,0,0,0,0,2e-4,0,0,0,0,0,0,0,0
case,0.1764,0.083,4e-4,0.038,0.1232,0.043,0.0564,0,0,0,0.044,0,0.0088,0.0292,0,0,0,0,0,0,0,0,0.008,0.003,0.0022,0.0016,0,0.0022,0
case,0.1606,0.0068,4e-4,0.001,0.051,2e-4,0.0258,0.0012,0,2e-4,0,0,0.0064,0,0,0,0.144,0,4e-4,0.006,0,0,0,0.0062,0,0.0126,0,0,0
case,0,0.0332,0,0,0.0018,6e-4,0,0.0242,0.002,0,0.0084,0,4e-4,0,2e-4,2e-4,0,0,2e-4,0.0012,0,0.0044,0.0012,0,0,0,0,2e-4,0
nondiarrheal_control,0,0.6822,0.302,4e-4,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0,2e-4,0.7586,0,0.2204,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,2e-4,0.367,0.0016,0,0.0646,2e-4,0,0.001,0,0,0,0,0.0562,0,0,0,0.0172,0.0086,0.0576,0.0154,0.0456,0.021,0,0,0,0.0012,0,6e-4,0
case,2e-4,0.177,0.2642,0,0.0638,0,0,0.0014,2e-4,0,0,0,0.0018,0,0,0,0.003,0.0024,0.0034,0.003,0.0102,0.0156,0,0,0,0.0176,0,0.0016,0
case,0.002,0,0.776,0.0022,0.0202,8e-4,0.003,0.0786,0,4e-4,0,0,0.0066,0,0,0,0,0,2e-4,0,0,0,0,0,2e-4,4e-4,0,0,0
case,0.121,0.0916,0.0108,0.0168,0.001,0.025,0.0584,0,4e-4,0.0962,0,0,0.0126,0.0172,0.0016,0.0028,0.001,0.0088,0.0168,0.0016,0.006,0.001,0,0.007,0.0032,0,8e-4,0,0.0034
nondiarrheal_control,0.2732,0.0164,8e-4,0.0522,0,2e-4,0.0178,0,0,0.0036,0,0,8e-4,0.0182,0.0314,0.0592,0,0.0162,2e-4,0,0.0056,0.013,0.0016,0.0542,0.0058,0,0.0036,0,4e-4
case,0.005,4e-4,0.2568,2e-4,0.069,0.3618,2e-4,2e-4,0,0,2e-4,0,8e-4,2e-4,0,6e-4,0.0204,0,0.0032,0.003,0,2e-4,2e-4,0.0012,0,0,0,0.0026,0
